Sample,Hour,Minute,Sec,Stamp,Quat1,Quat2,Quat3,Quat4,AccX,AccY,AccZ,Stamp2,Quat2_1,Quat2_2,Quat2_3,Quat2_4,Acc2_X,Acc2_Y,Acc2_Z,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Frame,Time,realTime,BrazoX,BrazoY,BrazoZ,angBrazoX,angBrazoY,angBrazoZ,EspaldaX,EspaldaY,EspaldaZ,refX,refY,refZ,type
2,16,49,15.17,4018.12,0.699203,-0.036579,0.695223,-0.16261,-0.96727,0.17365,-0.03265,4015,0.192787,-0.631103,0.310715,-0.684104,-0.96347,0.13771,-0.01095,2.02,2.8,2.89,3.16,2.99,2.88,2.74,3.74,3.24,3.83,3.95,4.01,3.89,3.76,3.77,2345,9.770833,60555.172833,33.852287,965.891663,-211.801987,1.79896828099366,2.43908818352797,2.22086870086543,18.427555,799.859314,153.809708,99.914368,1188.795898,-35.037319,"CRUZINT"
3,16,49,15.182,4018.14,0.699304,-0.036365,0.695172,-0.162444,-0.97093,0.17283,-0.03277,4015.02,0.193449,-0.631108,0.310984,-0.68379,-0.96472,0.15658,-0.00199,2.01,2.8,2.89,3.16,2.99,2.88,2.74,3.74,3.24,3.83,3.95,4.01,3.89,3.76,3.77,2348,9.783333,60555.185333,33.881145,965.929993,-211.822571,1.7989428768948,2.43892070157305,2.22105173949731,18.469244,799.874451,153.850922,99.934875,1188.798828,-35.01836,"CRUZINT"
4,16,49,15.189,4018.16,0.699434,-0.036114,0.695099,-0.162248,-0.97041,0.17303,-0.03294,4015.04,0.194024,-0.631095,0.311069,-0.683601,-0.9571,0.16366,-0.00473,2.02,2.8,2.89,3.16,2.99,2.88,2.74,3.74,3.24,3.83,3.95,4.01,3.89,3.75,3.77,2349,9.7875,60555.1895,33.902119,965.94635,-211.828781,1.798911416196,2.43884169577225,2.22114698432227,18.476105,799.885986,153.870102,99.945892,1188.796875,-35.005127,"CRUZINT"
5,16,49,15.195,4018.18,0.699586,-0.03593,0.694993,-0.162092,-0.96898,0.17458,-0.0353,4015.06,0.194167,-0.631445,0.310416,-0.683534,-0.95937,0.16833,-0.00685,2.02,2.8,2.89,3.16,2.99,2.88,2.75,3.74,3.24,3.83,3.95,4.01,3.89,3.76,3.77,2351,9.795833,60555.197833,33.938354,965.967529,-211.843994,1.7988093992753,2.43875397393145,2.22128338799934,18.500431,799.889465,153.894821,99.953255,1188.802002,-34.988235,"CRUZINT"
6,16,49,15.2,4018.2,0.699714,-0.035709,0.694896,-0.162002,-0.96652,0.17646,-0.03495,4015.08,0.193751,-0.632012,0.309314,-0.683627,-0.97121,0.17463,0.01226,2.03,2.8,2.89,3.16,2.99,2.88,2.75,3.74,3.24,3.83,3.95,4.01,3.89,3.76,3.77,2352,9.8,60555.202,33.961651,965.982544,-211.851959,1.79875527940406,2.43870996056404,2.22135315700064,18.5107,799.894531,153.908463,99.960037,1188.804932,-34.982983,"CRUZINT"
7,16,49,15.205,4018.22,0.699866,-0.035541,0.694776,-0.161894,-0.96655,0.17691,-0.03495,4015.1,0.193137,-0.632871,0.308275,-0.683476,-0.97604,0.17744,0.01742,2.03,2.8,2.89,3.16,2.99,2.88,2.75,3.74,3.24,3.83,3.95,4.01,3.89,3.76,3.77,2353,9.804167,60555.206167,33.983234,965.994202,-211.856415,1.79869435918719,2.43867174026641,2.22142009554236,18.516575,799.905823,153.928635,99.965576,1188.813721,-34.968433,"CRUZINT"
8,16,49,15.209,4018.24,0.699987,-0.035454,0.694666,-0.161869,-0.96655,0.17487,-0.03578,4015.12,0.192601,-0.633727,0.307607,-0.683135,-0.98708,0.18398,-0.0061,2.03,2.79,2.89,3.16,2.99,2.89,2.76,3.75,3.24,3.83,3.95,4.01,3.89,3.76,3.77,2354,9.808333,60555.210333,33.999119,966.009094,-211.866028,1.79863462160703,2.4386082132807,2.22151238290673,18.531187,799.907654,153.938614,99.963463,1188.813232,-34.95929,"CRUZINT"
9,16,49,15.22,4018.26,0.699975,-0.035384,0.694677,-0.161883,-0.96596,0.1759,-0.03184,4015.14,0.192804,-0.634057,0.307903,-0.682637,-0.99437,0.16139,-0.04011,2.04,2.79,2.89,3.15,2.99,2.89,2.76,3.74,3.24,3.84,3.95,4.01,3.89,3.76,3.77,2357,9.820833,60555.222833,34.059238,966.049561,-211.890564,1.79841675115762,2.43848161758923,2.22174134335477,18.552675,799.918518,153.965057,99.962006,1188.831177,-34.929531,"CRUZINT"
10,16,49,15.225,4018.28,0.700061,-0.035404,0.694585,-0.161905,-0.96586,0.17904,-0.0369,4015.16,0.193535,-0.633706,0.308231,-0.682608,-0.9838,0.16026,-0.04252,2.04,2.79,2.89,3.15,2.99,2.89,2.77,3.75,3.24,3.84,3.95,4.01,3.89,3.76,3.77,2358,9.825,60555.227,34.078976,966.061829,-211.896454,1.79833939300402,2.43846767178761,2.22179088798933,18.564173,799.921814,153.974243,99.958618,1188.837036,-34.92691,"CRUZINT"
11,16,49,15.229,4018.3,0.700092,-0.035474,0.694517,-0.162048,-0.96774,0.17868,-0.03357,4015.18,0.193674,-0.633434,0.308395,-0.682748,-0.98029,0.17883,-0.03015,2.04,2.79,2.89,3.15,2.99,2.89,2.77,3.75,3.24,3.84,3.95,4.01,3.89,3.76,3.77,2359,9.829167,60555.231167,34.097275,966.079651,-211.904465,1.79828166701657,2.43840130332834,2.22188511196396,18.571644,799.922424,153.979507,99.959579,1188.839233,-34.915489,"CRUZINT"
