Sample,Hour,Minute,Sec,Stamp,Quat1,Quat2,Quat3,Quat4,AccX,AccY,AccZ,Stamp2,Quat2_1,Quat2_2,Quat2_3,Quat2_4,Acc2_X,Acc2_Y,Acc2_Z,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Frame,Time,realTime,BrazoX,BrazoY,BrazoZ,angBrazoX,angBrazoY,angBrazoZ,EspaldaX,EspaldaY,EspaldaZ,refX,refY,refZ,type
2,16,40,28.338,3491.22,0.675308,-0.143595,0.679295,-0.248794,-0.97037,0.14873,-0.02434,3488.16,-0.091278,-0.696397,0.118634,-0.701873,-1.15752,0.32403,-0.03462,2.37,2.59,2.71,2.92,3.13,3.08,3.04,3.91,3.19,3.96,4,3.91,3.8,3.82,3.69,2025,8.4375,60028.3385,56.083965,984.458374,-207.214996,1.67141602843084,2.35155923745181,2.35073936518376,-7.339636,789.903625,168.649048,85.559807,1190.986328,-0.858015,"CRUZINT"
3,16,40,28.346,3491.24,0.675631,-0.143316,0.678802,-0.249421,-0.97897,0.1562,-0.03913,3488.18,-0.090349,-0.696959,0.11622,-0.701839,-0.95115,0.31351,-0.04782,2.37,2.6,2.71,2.92,3.13,3.07,3.04,3.91,3.19,3.96,3.99,3.91,3.79,3.82,3.69,2027,8.445833,60028.346833,56.181942,984.288696,-207.288544,1.67147506342113,2.3521784582004,2.35010832202053,-7.329021,789.927612,168.601471,85.673607,1190.935791,-1.073129,"CRUZINT"
4,16,40,28.352,3491.26,0.675807,-0.143125,0.678372,-0.250223,-0.97199,0.15796,-0.03812,3488.2,-0.090538,-0.696966,0.113401,-0.702269,-0.94709,0.26674,-0.03978,2.37,2.6,2.71,2.92,3.13,3.07,3.04,3.91,3.19,3.96,3.99,3.92,3.79,3.82,3.69,2029,8.454167,60028.355167,56.27343,984.12207,-207.353729,1.67160716043967,2.35282189677041,2.34943840932406,-7.321035,789.950806,168.552063,85.801956,1190.891235,-1.290082,"CRUZINT"
5,16,40,28.365,3491.28,0.675989,-0.14289,0.677985,-0.250913,-0.9664,0.15215,-0.04058,3488.22,-0.091011,-0.697105,0.110641,-0.702509,-0.94976,0.25717,-0.01667,2.37,2.6,2.71,2.92,3.13,3.07,3.03,3.91,3.19,3.96,3.98,3.92,3.79,3.81,3.69,2032,8.466667,60028.367667,56.360378,983.841675,-207.405151,1.67192412199796,2.35391601977217,2.34828060652693,-7.308078,789.992371,168.478241,85.979965,1190.828247,-1.593642,"CRUZINT"
6,16,40,28.37,3491.3,0.67613,-0.142584,0.677707,-0.251459,-0.96683,0.13989,-0.04248,3488.24,-0.090685,-0.697334,0.108544,-0.702652,-0.95839,0.25671,-0.01596,2.37,2.6,2.71,2.92,3.13,3.07,3.03,3.9,3.19,3.95,3.98,3.92,3.78,3.81,3.69,2033,8.470833,60028.371833,56.370899,983.743896,-207.415741,1.67209933544709,2.35429872975378,2.34786261786422,-7.301761,790,168.453674,86.042053,1190.812988,-1.688711,"CRUZINT"
7,16,40,28.375,3491.32,0.676311,-0.142235,0.67743,-0.251915,-0.97196,0.13578,-0.04075,3488.26,-0.089186,-0.697485,0.107214,-0.702899,-0.96371,0.24336,-0.03362,2.37,2.6,2.71,2.92,3.13,3.07,3.03,3.9,3.19,3.95,3.98,3.92,3.78,3.8,3.69,2034,8.475,60028.376,56.380749,983.642944,-207.41832,1.67224878087847,2.35465923930798,2.34747195992584,-7.297012,790.017273,168.424973,86.096107,1190.791016,-1.768995,"CRUZINT"
8,16,40,28.381,3491.34,0.676494,-0.14189,0.677183,-0.252282,-0.97388,0.13654,-0.04497,3488.28,-0.087132,-0.697741,0.106507,-0.703009,-0.96034,0.25248,-0.03481,2.36,2.6,2.71,2.92,3.13,3.07,3.02,3.9,3.19,3.95,3.97,3.93,3.78,3.79,3.69,2036,8.483333,60028.384333,56.393444,983.442261,-207.426651,1.67254006472587,2.35538519477821,2.34668709471029,-7.285016,790.035583,168.376022,86.194908,1190.748657,-1.934167,"CRUZINT"
9,16,40,28.386,3491.36,0.676676,-0.141534,0.676985,-0.252524,-0.97103,0.14553,-0.04417,3488.3,-0.084882,-0.698417,0.105971,-0.702694,-0.94465,0.26568,-0.0114,2.36,2.6,2.71,2.92,3.13,3.07,3.02,3.9,3.19,3.95,3.97,3.92,3.78,3.79,3.69,2037,8.4875,60028.3885,56.388622,983.337402,-207.42128,1.67273125367981,2.35580697651117,2.34622655351615,-7.283243,790.058105,168.352905,86.245659,1190.729736,-2.02688,"CRUZINT"
10,16,40,28.392,3491.38,0.676854,-0.141131,0.676817,-0.252725,-0.96631,0.14875,-0.04667,3488.32,-0.082733,-0.699254,0.105318,-0.702216,-0.96221,0.25546,-0.00609,2.36,2.6,2.71,2.92,3.13,3.07,3.02,3.9,3.18,3.95,3.96,3.93,3.77,3.78,3.69,2038,8.491667,60028.392667,56.386513,983.22937,-207.420502,1.67292232076375,2.35620304177046,2.34579167875946,-7.280594,790.064331,168.329666,86.299385,1190.704346,-2.116792,"CRUZINT"
11,16,40,28.406,3491.4,0.677007,-0.140734,0.67668,-0.252903,-0.9645,0.14919,-0.0475,3488.34,-0.081269,-0.699995,0.10413,-0.701825,-0.94067,0.24988,-0.01454,2.36,2.6,2.71,2.92,3.13,3.07,3.01,3.9,3.18,3.95,3.96,3.94,3.77,3.78,3.7,2042,8.508333,60028.409333,56.346394,982.762024,-207.387878,1.67381012050319,2.35799855653984,2.34381480524822,-7.271665,790.113403,168.227234,86.51799,1190.606445,-2.501661,"CRUZINT"
