Sample,Hour,Minute,Sec,Stamp,Quat1,Quat2,Quat3,Quat4,AccX,AccY,AccZ,Stamp2,Quat2_1,Quat2_2,Quat2_3,Quat2_4,Acc2_X,Acc2_Y,Acc2_Z,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Frame,Time,realTime,BrazoX,BrazoY,BrazoZ,angBrazoX,angBrazoY,angBrazoZ,EspaldaX,EspaldaY,EspaldaZ,refX,refY,refZ,type
2,16,47,0.365,3883.3,0.699079,0.095106,0.707933,-0.032797,-0.96788,0.17519,0.01538,3880.18,0.197082,-0.606224,0.345483,-0.688689,-0.96218,0.22381,-0.03296,2.04,2.75,2.87,3.13,2.98,2.86,2.69,3.7,3.25,3.77,3.99,4.02,3.86,3.77,3.76,2115,8.8125,60420.3655,81.016731,961.085022,-210.536911,1.64526965111927,2.40925522898002,2.29756298086811,7.788492,788.319763,154.870453,103.079163,1181.581421,-13.512115,"CRUZINT"
3,16,47,0.374,3883.32,0.699029,0.09513,0.70798,-0.032758,-0.96763,0.17515,0.01536,3880.2,0.197312,-0.605874,0.345861,-0.688741,-0.96599,0.21901,-0.0388,2.04,2.76,2.88,3.14,2.98,2.86,2.69,3.71,3.25,3.78,3.99,4.02,3.86,3.76,3.76,2118,8.825,60420.378,81.332779,961.289246,-210.573669,1.6441600259773,2.40857099929681,2.29841260818229,7.786604,788.303284,154.904205,103.064804,1181.626831,-13.381351,"CRUZINT"
4,16,47,0.384,3883.34,0.698974,0.095123,0.708037,-0.032726,-0.96713,0.17442,0.0159,3880.22,0.197452,-0.605404,0.346552,-0.688767,-0.96624,0.22177,-0.0406,2.04,2.76,2.88,3.14,2.99,2.86,2.7,3.71,3.25,3.79,4,4.01,3.85,3.76,3.76,2120,8.833333,60420.386333,81.533051,961.396667,-210.602417,1.64347461032727,2.40819013721337,2.29889432809609,7.789339,788.291565,154.924561,103.062508,1181.65979,-13.30247,"CRUZINT"
5,16,47,0.392,3883.36,0.699031,0.09501,0.708,-0.032634,-0.9679,0.17367,0.0144,3880.24,0.197709,-0.604859,0.34741,-0.68874,-0.96697,0.22562,-0.03868,2.04,2.76,2.88,3.14,2.99,2.87,2.71,3.71,3.25,3.79,4,4.01,3.85,3.77,3.76,2122,8.841667,60420.394667,81.758896,961.508301,-210.622406,1.64264498333088,2.40778713321787,2.29941806236761,7.785184,788.278076,154.941895,103.043076,1181.692017,-13.206043,"CRUZINT"
6,16,47,0.401,3883.38,0.698975,0.094984,0.708061,-0.032585,-0.96819,0.17369,0.01639,3880.26,0.198068,-0.604346,0.348386,-0.688595,-0.96627,0.22878,-0.03564,2.04,2.76,2.88,3.14,2.99,2.87,2.71,3.72,3.25,3.8,4,4.01,3.85,3.77,3.76,2124,8.85,60420.403,82.00177,961.606689,-210.640106,1.64179987653922,2.40743350967488,2.29989316731831,7.787248,788.259033,154.954132,103.037064,1181.731079,-13.108883,"CRUZINT"
7,16,47,0.406,3883.4,0.698875,0.094955,0.708164,-0.032552,-0.96854,0.17437,0.01669,3880.28,0.198397,-0.603701,0.349545,-0.688478,-0.96554,0.23073,-0.04203,2.04,2.76,2.88,3.14,2.99,2.88,2.72,3.73,3.26,3.81,4.01,4.01,3.84,3.77,3.75,2125,8.854167,60420.407167,82.12912,961.675049,-210.656387,1.64135337967078,2.4071939461238,2.30019638534765,7.780468,788.257568,154.969604,103.032135,1181.749512,-13.060217,"CRUZINT"
8,16,47,0.412,3883.42,0.69881,0.094889,0.70824,-0.032516,-0.96831,0.17702,0.01611,3880.3,0.198844,-0.602857,0.350654,-0.688524,-0.96919,0.22752,-0.05359,2.04,2.76,2.88,3.15,2.99,2.88,2.73,3.74,3.26,3.82,4.01,4,3.84,3.77,3.75,2127,8.8625,60420.4155,82.406036,961.775146,-210.667297,1.64038773506989,2.40684608388957,2.30068034883405,7.779035,788.236877,154.976456,103.023567,1181.78186,-12.962919,"CRUZINT"
9,16,47,0.416,3883.44,0.698747,0.094807,0.708313,-0.032497,-0.96885,0.17554,0.01627,3880.32,0.199367,-0.60184,0.351934,-0.68861,-0.96758,0.21953,-0.05964,2.04,2.77,2.88,3.15,2.99,2.9,2.74,3.75,3.26,3.84,4.01,4,3.83,3.77,3.75,2128,8.866667,60420.419667,82.55867,961.819153,-210.665146,1.63985238576372,2.40672588831006,2.30087511192062,7.777347,788.237,154.979675,103.017647,1181.799805,-12.919684,"CRUZINT"
10,16,47,0.421,3883.46,0.698708,0.094714,0.708366,-0.032462,-0.96863,0.17399,0.01611,3880.34,0.200179,-0.600575,0.353295,-0.688782,-0.96387,0.22388,-0.06219,2.04,2.77,2.89,3.15,3,2.91,2.76,3.75,3.26,3.84,4.01,4,3.83,3.77,3.75,2129,8.870833,60420.423833,82.695435,961.867615,-210.665344,1.63938933905502,2.40655901858089,2.30110607615028,7.774576,788.227539,154.9935,103.017181,1181.812256,-12.871409,"CRUZINT"
11,16,47,0.431,3883.48,0.698608,0.094648,0.708475,-0.032427,-0.96847,0.17433,0.0162,3880.36,0.201285,-0.599093,0.354633,-0.689063,-0.96,0.22963,-0.06466,2.04,2.77,2.89,3.15,3,2.92,2.78,3.75,3.25,3.85,4.01,3.99,3.83,3.77,3.75,2131,8.879167,60420.432167,82.957146,961.909485,-210.650711,1.63848693934547,2.40641161386245,2.30137697229486,7.766042,788.218201,154.995834,103.013168,1181.838135,-12.784963,"CRUZINT"
