Sample,Hour,Minute,Sec,Stamp,Quat1,Quat2,Quat3,Quat4,AccX,AccY,AccZ,Stamp2,Quat2_1,Quat2_2,Quat2_3,Quat2_4,Acc2_X,Acc2_Y,Acc2_Z,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Frame,Time,realTime,BrazoX,BrazoY,BrazoZ,angBrazoX,angBrazoY,angBrazoZ,EspaldaX,EspaldaY,EspaldaZ,refX,refY,refZ,type
2,16,38,10.815,3353.72,0.661313,-0.149285,0.683417,-0.270779,-0.97067,0.17064,-0.03029,3350.64,-0.257664,-0.673793,0.0835,-0.687488,-0.86565,0.45667,-0.08871,2.35,2.56,2.66,2.97,3.12,3.06,2.98,3.87,3.17,3.95,4,4,4,4,4,2185,9.104167,59890.816167,86.790886,1008.660217,-226.726151,1.69010868376176,2.2776354583441,2.42043931429809,22.484835,799.591125,150.656815,121.063049,1195.651611,-10.477812,"CRUZINT"
3,16,38,10.829,3353.74,0.66126,-0.149309,0.683476,-0.270745,-0.97051,0.16879,-0.02904,3350.66,-0.257581,-0.67377,0.083528,-0.687538,-0.86897,0.45787,-0.08908,2.35,2.56,2.66,2.97,3.12,3.06,2.98,3.87,3.17,3.95,4.07,3.95,3.9,3.83,3.71,2189,9.120833,59890.832833,86.79612,1008.639221,-226.728577,1.69015954733254,2.27770206434012,2.42036085711016,22.499557,799.579224,150.660995,121.082657,1195.644287,-10.496207,"CRUZINT"
4,16,38,10.839,3353.76,0.661268,-0.149378,0.68347,-0.270703,-0.96741,0.16865,-0.02912,3350.68,-0.257433,-0.673846,0.083631,-0.687507,-0.86816,0.4604,-0.09378,2.35,2.56,2.66,2.97,3.12,3.06,2.98,3.87,3.17,3.95,4.07,3.95,3.9,3.84,3.71,2191,9.129167,59890.841167,86.800835,1008.635742,-226.730103,1.6902019659625,2.27772785893335,2.42032505305391,22.502777,799.578247,150.654144,121.098877,1195.643066,-10.508459,"CRUZINT"
5,16,38,10.847,3353.78,0.661213,-0.14939,0.683545,-0.270642,-0.9687,0.16935,-0.03081,3350.7,-0.25729,-0.673792,0.083807,-0.687592,-0.8667,0.45954,-0.096,2.35,2.57,2.66,2.97,3.12,3.06,2.98,3.87,3.17,3.95,4.07,3.95,3.9,3.83,3.71,2193,9.1375,59890.8495,86.824776,1008.632446,-226.746979,1.69016072522415,2.27773752268516,2.42032526352574,22.512295,799.579102,150.653976,121.111603,1195.64502,-10.521671,"CRUZINT"
6,16,38,10.856,3353.8,0.661257,-0.149335,0.683506,-0.270663,-0.9677,0.17119,-0.0302,3350.72,-0.257262,-0.673787,0.083974,-0.687587,-0.86816,0.45778,-0.09021,2.35,2.56,2.66,2.97,3.12,3.06,2.98,3.87,3.17,3.95,4.07,3.95,3.9,3.84,3.71,2195,9.145833,59890.857833,86.842171,1008.627441,-226.75502,1.6901503433589,2.27774541919272,2.42031987463173,22.52033,799.586792,150.643997,121.126541,1195.644531,-10.527514,"CRUZINT"
7,16,38,10.866,3353.82,0.661227,-0.149322,0.683561,-0.270604,-0.96992,0.17004,-0.02822,3350.74,-0.257243,-0.673791,0.084148,-0.687568,-0.86982,0.45227,-0.08618,2.35,2.56,2.67,2.97,3.12,3.06,2.98,3.87,3.17,3.95,4.07,3.95,3.9,3.83,3.71,2197,9.154167,59890.866167,86.867851,1008.631836,-226.767578,1.69013696272008,2.27773510690072,2.42033333444964,22.528553,799.594971,150.639572,121.147713,1195.642944,-10.541819,"CRUZINT"
8,16,38,10.871,3353.84,0.661197,-0.149323,0.683601,-0.270575,-0.96955,0.16959,-0.02956,3350.76,-0.257222,-0.673813,0.084021,-0.687571,-0.86865,0.45398,-0.08184,2.35,2.56,2.66,2.97,3.12,3.06,2.98,3.87,3.17,3.95,4.06,3.95,3.9,3.83,3.71,2199,9.1625,59890.8745,86.900543,1008.636597,-226.778275,1.69005500757678,2.27770715745296,2.42038069925578,22.538984,799.606995,150.638901,121.157135,1195.642456,-10.542505,"CRUZINT"
9,16,38,10.876,3353.86,0.661169,-0.149282,0.683639,-0.270572,-0.97173,0.16966,-0.02673,3350.78,-0.257239,-0.67379,0.083993,-0.687591,-0.86544,0.46153,-0.084,2.35,2.57,2.66,2.97,3.12,3.06,2.98,3.87,3.17,3.95,4.07,3.95,3.9,3.83,3.71,2200,9.166667,59890.878667,86.91153,1008.637329,-226.776871,1.69005139592757,2.27772101026084,2.4203677636065,22.5448,799.608093,150.636841,121.166847,1195.644897,-10.545091,"CRUZINT"
10,16,38,10.884,3353.88,0.66112,-0.1493,0.683688,-0.270556,-0.97096,0.16931,-0.02893,3350.8,-0.257218,-0.67358,0.083951,-0.687809,-0.86787,0.4601,-0.09117,2.35,2.57,2.66,2.97,3.12,3.06,2.98,3.87,3.17,3.95,4.07,3.95,3.9,3.84,3.71,2202,9.175,59890.887,86.947586,1008.631226,-226.789871,1.68999634770704,2.27773477311116,2.42036716746531,22.555431,799.621948,150.627502,121.188782,1195.650635,-10.547997,"CRUZINT"
11,16,38,10.89,3353.9,0.661152,-0.149242,0.683644,-0.270622,-0.96701,0.17203,-0.02788,3350.82,-0.257209,-0.673601,0.083996,-0.687786,-0.87062,0.45621,-0.09262,2.35,2.57,2.66,2.97,3.12,3.06,2.98,3.87,3.17,3.95,4.07,3.95,3.9,3.83,3.71,2203,9.179167,59890.891167,86.963211,1008.628479,-226.794876,1.68997323133865,2.27773610220086,2.42037134745792,22.554211,799.62616,150.622162,121.197823,1195.648315,-10.55205,"CRUZINT"
