,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Espalda,Espalda,Espalda,Espalda,Espalda,Espalda,Espalda,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker3,Rigid Body 2:Marker3,Rigid Body 2:Marker3,MarkerSet:Referencia,MarkerSet:Referencia,MarkerSet:Referencia
,,"4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E35717CBE065A00000000","8392B20CF49E35717CBE065A00000000","8392B20CF49E35717CBE065A00000000"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
9,0.075000,-3.405210,-3.248542,-5.006365,-309.952576,915.131836,-11.935367,0.532497,3.820586,7.016847,0.545037,-118.087715,833.417358,269.397949,1.045731,-318.641327,852.649414,-14.716161,-307.283783,973.647705,2.473027,-303.907837,918.993103,-23.378731,,,,-120.685608,829.235291,267.938049,-120.636581,761.662109,265.580597,-241.847824,1143.921753,87.269485
10,0.083333,-3.404529,-3.276760,-4.999394,-309.965515,915.126038,-11.902475,0.529247,3.830027,7.180093,0.562553,-118.096565,833.416382,269.385040,1.045731,-318.645905,852.642578,-14.684127,-307.314514,973.641174,2.514124,-303.905792,918.984741,-23.357571,,,,-120.691002,829.244873,267.929443,-120.626602,761.649963,265.562164,-241.900482,1143.927856,87.298073
11,0.091667,-3.410367,-3.290506,-4.995283,-309.968231,915.115845,-11.858481,0.537639,3.832875,7.160233,0.564654,-118.082367,833.427124,269.376770,1.045731,-318.642059,852.631958,-14.636529,-307.324615,973.626282,2.551407,-303.910461,918.979675,-23.304314,,,,-120.676430,829.256165,267.920013,-120.610115,761.660583,265.549194,-241.949615,1143.932007,87.330620
12,0.100000,-3.407240,-3.335030,-4.998309,-309.967682,915.101929,-11.816404,0.547322,3.833935,7.272038,0.582311,-118.076431,833.436523,269.371613,1.045731,-318.638123,852.614075,-14.605572,-307.336456,973.609924,2.596468,-303.898468,918.979553,-23.256660,,,,-120.675507,829.263794,267.918121,-120.576355,761.671997,265.545502,-241.997833,1143.926758,87.368332
13,0.108333,-3.404955,-3.353630,-4.987911,-309.967133,915.088928,-11.768259,0.544984,3.840763,7.313200,0.581080,-118.070122,833.442139,269.374969,1.045731,-318.620514,852.602722,-14.565029,-307.355286,973.599243,2.642334,-303.894653,918.966248,-23.210018,,,,-120.669067,829.272034,267.922455,-120.571732,761.676086,265.542694,-242.036346,1143.927979,87.398018
14,0.116667,-3.405106,-3.359921,-4.977835,-309.947754,915.072998,-11.730446,0.548601,3.840369,7.232535,0.583664,-118.066818,833.448608,269.373474,1.045731,-318.595428,852.584351,-14.520261,-307.346527,973.572754,2.693623,-303.869904,918.948914,-23.176134,,,,-120.659027,829.282898,267.917786,-120.571915,761.676453,265.537659,-242.073303,1143.925415,87.439621
15,0.125000,-3.408968,-3.418333,-4.973036,-309.946289,915.063477,-11.685540,0.545392,3.834049,7.068888,0.590108,-118.074188,833.443970,269.371368,1.045731,-318.581238,852.571655,-14.481689,-307.365906,973.571716,2.731770,-303.861328,918.939758,-23.120134,,,,-120.666924,829.281677,267.906433,-120.569733,761.672363,265.536133,-242.099762,1143.928467,87.476036
16,0.133333,-3.408963,-3.410352,-4.966229,-309.927185,915.054260,-11.641761,0.553461,3.831834,7.086742,0.595938,-118.086044,833.438843,269.378815,1.045731,-318.556824,852.562012,-14.433503,-307.353760,973.553284,2.780855,-303.835876,918.936462,-23.086309,,,,-120.678337,829.276062,267.914764,-120.574295,761.667114,265.546265,-242.116074,1143.916504,87.529922
17,0.141667,-3.402443,-3.386814,-4.962824,-309.911560,915.049255,-11.604397,0.549860,3.842508,7.157587,0.599506,-118.099487,833.426575,269.380035,1.045731,-318.540558,852.555725,-14.399901,-307.332977,973.552490,2.820432,-303.828827,918.931580,-23.046524,,,,-120.691628,829.265503,267.918304,-120.583832,761.652832,265.536804,-242.122849,1143.921509,87.580109
18,0.150000,-3.398249,-3.389237,-4.953236,-309.894928,915.049805,-11.562277,0.549421,3.839861,7.056978,0.611552,-118.116684,833.421692,269.390930,1.045731,-318.513489,852.553162,-14.362175,-307.326355,973.554993,2.866060,-303.809967,918.935852,-23.006708,,,,-120.705040,829.268311,267.922638,-120.588570,761.642212,265.545898,-242.129089,1143.922607,87.622559
