      Sample        Hour      Minute         Sec       Stamp       Quat1       Quat2       Quat3       Quat4        AccX        AccY        AccZ      Stamp2     Quat2_1     Quat2_2     Quat2_3     Quat2_4      Acc2_X      Acc2_Y      Acc2_Z          A0          A1          A2          A3          A4          A5          A6          A7          A8          A9         A10         A11         A12         A13         A14
           1          16          27      14.298     2697.14    0.704977    0.120439    0.697086    0.050721    -0.97560     0.09087     0.00246     2694.10   -0.327289   -0.431215    0.461503   -0.702816    -0.28496     0.92205    -0.21300        2.28        2.72        2.55        3.09        3.01        3.01        2.86        3.83        3.27        3.88        4.12        4.01        4.00        3.78        3.76
           2          16          27      14.305     2697.16    0.704874    0.120321    0.697216    0.050649    -0.97501     0.08972     0.00431     2694.12   -0.327240   -0.431465    0.461738   -0.702531    -0.28439     0.92494    -0.21669        2.28        2.72        2.55        3.09        3.01        3.01        2.86        3.83        3.27        3.88        4.12        4.01        4.00        3.78        3.76
           3          16          27      14.317     2697.18    0.704872    0.120307    0.697230    0.050516    -0.97811     0.08894     0.00344     2694.14   -0.327047   -0.431788    0.462082   -0.702196    -0.28786     0.92887    -0.21913        2.28        2.71        2.55        3.09        3.01        3.01        2.86        3.83        3.27        3.88        4.12        4.01        4.00        3.78        3.76
           4          16          27      14.324     2697.20    0.704750    0.120235    0.697372    0.050428    -0.98429     0.09038     0.00384     2694.16   -0.326922   -0.431864    0.462140   -0.702170    -0.28992     0.93417    -0.21280        2.28        2.71        2.55        3.09        3.01        3.01        2.86        3.83        3.27        3.88        4.12        4.01        4.00        3.78        3.76
           5          16          27      14.334     2697.22    0.704740    0.120205    0.697394    0.050339    -0.98347     0.09216     0.00422     2694.18   -0.327131   -0.431696    0.461946   -0.702304    -0.28601     0.92058    -0.19871        2.28        2.72        2.55        3.09        3.01        3.01        2.86        3.83        3.27        3.88        4.12        4.01        4.00        3.78        3.76
           6          16          27      14.340     2697.24    0.704697    0.120175    0.697447    0.050285    -0.97872     0.09375     0.00155     2694.20   -0.327437   -0.431507    0.461664   -0.702462    -0.28156     0.91279    -0.19580        2.28        2.72        2.55        3.09        3.01        3.01        2.86        3.83        3.27        3.88        4.12        4.01        4.00        3.78        3.76
           7          16          27      14.356     2697.26    0.704542    0.120107    0.697613    0.050316    -0.97634     0.09218     0.00221     2694.22   -0.327518   -0.431386    0.461559   -0.702567    -0.28315     0.91821    -0.20379        2.28        2.72        2.55        3.09        3.01        3.01        2.86        3.83        3.27        3.88        4.12        4.01        4.00        3.78        3.76
           8          16          27      14.362     2697.28    0.704503    0.120125    0.697653    0.050247    -0.97447     0.09202     0.00480     2694.24   -0.327434   -0.431457    0.461583   -0.702548    -0.28605     0.92646    -0.20719        2.28        2.71        2.55        3.09        3.01        3.01        2.86        3.82        3.27        3.88        4.11        4.01        4.00        3.78        3.76
           9          16          27      14.368     2697.30    0.704400    0.120159    0.697765    0.050069    -0.97811     0.09607     0.00623     2694.26   -0.327297   -0.431640    0.461517   -0.702542    -0.29065     0.92505    -0.21765        2.28        2.72        2.55        3.09        3.01        3.01        2.86        3.82        3.27        3.88        4.12        4.01        4.00        3.78        3.76
          10          16          27      14.373     2697.32    0.704368    0.120157    0.697810    0.049891    -0.98073     0.09637     0.00614     2694.28   -0.327302   -0.431635    0.461463   -0.702579    -0.28742     0.93263    -0.22184        2.28        2.71        2.55        3.09        3.01        3.01        2.86        3.83        3.27        3.88        4.12        4.01        4.00        3.78        3.76
          11          16          27      14.378     2697.34    0.704325    0.120184    0.697857    0.049778    -0.97988     0.09513     0.00035     2694.30   -0.327400   -0.431286    0.461261   -0.702880    -0.28692     0.92381    -0.21830        2.28        2.72        2.55        3.09        3.01        3.01        2.86        3.83        3.27        3.88        4.12        4.01        4.01        3.78        3.76
          12          16          27      14.392     2697.36    0.704175    0.120094    0.698020    0.049845    -0.98096     0.09190     0.00499     2694.32   -0.327513   -0.431180    0.461239   -0.702906    -0.27755     0.91724    -0.21266        2.28        2.72        2.55        3.09        3.01        3.01        2.86        3.83        3.27        3.88        4.12        4.01        4.00        3.78        3.76
          13          16          27      14.397     2697.38    0.704147    0.120049    0.698064    0.049713    -0.98312     0.09134     0.00989     2694.34   -0.327609   -0.431157    0.461196   -0.702904    -0.28238     0.91807    -0.20815        2.28        2.72        2.55        3.09        3.01        3.01        2.86        3.82        3.27        3.88        4.12        4.01        4.00        3.78        3.76
          14          16          27      14.427     2697.40    0.704159    0.119935    0.698084    0.049555    -0.97960     0.08848     0.01238     2694.36   -0.327621   -0.431371    0.461186   -0.702774    -0.28209     0.91973    -0.21273        2.28        2.71        2.55        3.09        3.01        3.01        2.86        3.83        3.27        3.87        4.12        4.01        4.00        3.78        3.76
