      Sample        Hour      Minute         Sec       Stamp       Quat1       Quat2       Quat3       Quat4        AccX        AccY        AccZ      Stamp2     Quat2_1     Quat2_2     Quat2_3     Quat2_4      Acc2_X      Acc2_Y      Acc2_Z          A0          A1          A2          A3          A4          A5          A6          A7          A8          A9         A10         A11         A12         A13         A14
           1          16          31      51.488     2974.24    0.607587   -0.306495    0.624799   -0.382786    -0.97904     0.10367    -0.02787     2971.18   -0.207323   -0.382303    0.550962   -0.712252    -0.31042     0.94308    -0.10524        2.21        2.70        2.53        3.11        3.04        3.01        2.85        3.83        3.28        3.87        4.11        3.97        3.98        3.79        3.77
           2          16          31      51.512     2974.26    0.607532   -0.306350    0.624996   -0.382667    -0.97892     0.10583    -0.02747     2971.20   -0.201894   -0.378468    0.554122   -0.713407    -0.29968     0.92521    -0.09279        2.21        2.70        2.53        3.11        3.04        3.01        2.85        3.84        3.28        3.88        4.11        3.97        3.99        3.79        3.77
           3          16          31      51.522     2974.28    0.607640   -0.306147    0.625060   -0.382554    -0.97888     0.10740    -0.02911     2971.22   -0.196734   -0.374915    0.556682   -0.714731    -0.27928     0.92043    -0.08426        2.21        2.70        2.53        3.11        3.04        3.01        2.84        3.84        3.28        3.87        4.11        3.97        3.99        3.79        3.77
           4          16          31      51.528     2974.30    0.607719   -0.305932    0.625160   -0.382439    -0.98103     0.10795    -0.02785     2971.24   -0.191745   -0.371686    0.558934   -0.716014    -0.28296     0.92121    -0.08269        2.21        2.70        2.53        3.11        3.04        3.01        2.84        3.84        3.28        3.87        4.12        3.97        3.99        3.79        3.77
           5          16          31      51.534     2974.32    0.607944   -0.305665    0.625174   -0.382271    -0.97977     0.10882    -0.02813     2971.26   -0.186977   -0.368669    0.561176   -0.717080    -0.28320     0.92043    -0.07247        2.21        2.70        2.53        3.11        3.04        3.01        2.84        3.84        3.28        3.87        4.11        3.97        3.99        3.79        3.77
           6          16          31      51.539     2974.34    0.608259   -0.305361    0.625154   -0.382045    -0.97857     0.10974    -0.02774     2971.28   -0.182203   -0.365816    0.563256   -0.718139    -0.27539     0.93487    -0.07612        2.21        2.70        2.53        3.11        3.04        3.01        2.84        3.84        3.28        3.88        4.11        3.97        3.99        3.79        3.77
           7          16          31      51.551     2974.36    0.608524   -0.305039    0.625201   -0.381804    -0.97595     0.11218    -0.02532     2971.30   -0.177754   -0.363214    0.564939   -0.719252    -0.30115     0.93546    -0.08662        2.21        2.70        2.53        3.11        3.04        3.01        2.84        3.84        3.28        3.88        4.12        3.97        3.99        3.79        3.77
           8          16          31      51.556     2974.38    0.608772   -0.304776    0.625204   -0.381613    -0.97445     0.10789    -0.03202     2971.32   -0.173429   -0.360720    0.566645   -0.720220    -0.30901     0.93591    -0.09980        2.21        2.70        2.53        3.11        3.04        3.01        2.83        3.84        3.28        3.88        4.11        3.97        3.99        3.79        3.77
           9          16          31      51.562     2974.40    0.608928   -0.304575    0.625230   -0.381481    -0.97604     0.10392    -0.03266     2971.34   -0.169220   -0.358294    0.568348   -0.721090    -0.30303     0.93372    -0.10266        2.21        2.70        2.53        3.11        3.04        3.01        2.83        3.84        3.28        3.88        4.12        3.97        3.99        3.79        3.77
          10          16          31      51.569     2974.42    0.609046   -0.304435    0.625176   -0.381494    -0.97637     0.10667    -0.03322     2971.36   -0.164928   -0.355810    0.569939   -0.722058    -0.30415     0.93846    -0.10388        2.21        2.70        2.53        3.11        3.04        3.01        2.83        3.84        3.28        3.88        4.11        3.97        3.99        3.79        3.77
          11          16          31      51.576     2974.44    0.609138   -0.304307    0.625126   -0.381530    -0.97798     0.10402    -0.03455     2971.38   -0.160711   -0.353433    0.571139   -0.723227    -0.31669     0.94664    -0.10967        2.21        2.70        2.53        3.11        3.04        3.01        2.83        3.84        3.28        3.88        4.11        3.97        3.99        3.79        3.77
          12          16          31      51.581     2974.46    0.609232   -0.304227    0.625064   -0.381546    -0.97728     0.10148    -0.03575     2971.40   -0.156607   -0.350937    0.572180   -0.724519    -0.33646     0.93267    -0.11391        2.21        2.70        2.53        3.11        3.04        3.01        2.84        3.84        3.28        3.88        4.11        3.97        3.99        3.79        3.77
          13          16          31      51.592     2974.48    0.609356   -0.304114    0.624994   -0.381553    -0.98031     0.10046    -0.03442     2971.42   -0.152498   -0.348221    0.573473   -0.725683    -0.32417     0.94052    -0.10868        2.21        2.70        2.53        3.11        3.04        3.01        2.84        3.84        3.28        3.88        4.12        3.97        3.99        3.79        3.77
          14          16          31      51.597     2974.50    0.609491   -0.304000    0.624938   -0.381520    -0.97736     0.10095    -0.03479     2971.44   -0.148410   -0.345432    0.574935   -0.726706    -0.31414     0.94849    -0.10158        2.21        2.70        2.53        3.11        3.04        3.01        2.84        3.84        3.28        3.88        4.11        3.97        3.99        3.79        3.77
          15          16          31      51.601     2974.52    0.609666   -0.303845    0.624839   -0.381526    -0.97674     0.10338    -0.03556     2971.46   -0.144510   -0.342630    0.576786   -0.727351    -0.30066     0.93619    -0.10514        2.21        2.70        2.53        3.11        3.04        3.01        2.84        3.83        3.28        3.88        4.11        3.97        3.99        3.79        3.77
          16          16          31      51.606     2974.54    0.609776   -0.303748    0.624768   -0.381543    -0.97627     0.10578    -0.03470     2971.48   -0.140582   -0.340060    0.579089   -0.727497    -0.32178     0.93567    -0.10207        2.21        2.70        2.53        3.11        3.04        3.00        2.84        3.83        3.28        3.87        4.12        3.97        3.99        3.79        3.77
