Sample,Hour,Minute,Sec,Stamp,Quat1,Quat2,Quat3,Quat4,AccX,AccY,AccZ,Stamp2,Quat2_1,Quat2_2,Quat2_3,Quat2_4,Acc2_X,Acc2_Y,Acc2_Z,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Frame,Time,realTime,BrazoX,BrazoY,BrazoZ,angBrazoX,angBrazoY,angBrazoZ,EspaldaX,EspaldaY,EspaldaZ,refX,refY,refZ,type
2,17,7,44.13,5127.2,0.327629,0.675239,0.043231,0.659426,-0.90752,0.37244,-0.08683,5123.98,0.1292,-0.711483,0.18921,-0.664303,-0.98186,0.06328,0.07994,2.4,2.5,2.46,2.93,2.98,2.97,2.92,3.88,2.98,3.94,4.02,3.78,3.9,3.87,3.69,1888,7.866667,61664.132667,53.378155,936.538391,-194.967728,1.77137641398686,2.49329909066574,2.17731436005666,-1.337372,798.981628,163.165848,112.287582,1172.224609,-26.430637,"LATERAL"
3,17,7,44.143,5127.22,0.327687,0.675209,0.043317,0.659422,-0.91059,0.37073,-0.08627,5124,0.128831,-0.711565,0.189392,-0.664236,-0.98202,0.06288,0.07589,2.4,2.5,2.46,2.93,2.98,2.97,2.92,3.88,2.98,3.94,4.02,3.79,3.9,3.87,3.69,1891,7.879167,61664.145167,53.36927,936.588013,-194.966461,1.77147591757663,2.49310414415205,2.17747321921854,-1.359392,798.966492,163.164932,112.309074,1172.245605,-26.386356,"LATERAL"
4,17,7,44.149,5127.24,0.327779,0.675146,0.043412,0.659435,-0.90951,0.36769,-0.08578,5124.02,0.128425,-0.711621,0.189638,-0.664184,-0.98064,0.05917,0.076,2.4,2.5,2.46,2.93,2.98,2.97,2.92,3.88,2.98,3.94,4.02,3.78,3.89,3.87,3.69,1892,7.883333,61664.149333,53.362526,936.601807,-194.961609,1.7715077358991,2.49308231219033,2.17748238592576,-1.364164,798.960571,163.165298,112.309074,1172.245605,-26.386356,"LATERAL"
5,17,7,44.155,5127.26,0.327508,0.675113,0.043852,0.659574,-0.90941,0.36438,-0.08847,5124.04,0.128072,-0.711695,0.189967,-0.664079,-0.97728,0.05762,0.07588,2.4,2.5,2.46,2.93,2.98,2.97,2.92,3.88,2.98,3.94,4.02,3.78,3.9,3.87,3.7,1894,7.891667,61664.157667,53.355782,936.615662,-194.956757,1.771520456898,2.49296191808122,2.17760080879239,-1.368936,798.954651,163.165665,112.308662,1172.248535,-26.345171,"LATERAL"
6,17,7,44.165,5127.28,0.327491,0.675151,0.043817,0.659545,-0.91035,0.36292,-0.09092,5124.06,0.127872,-0.711754,0.190322,-0.663952,-0.98024,0.05634,0.07675,2.4,2.5,2.46,2.93,2.98,2.97,2.92,3.88,2.98,3.94,4.02,3.78,3.9,3.87,3.69,1896,7.9,61664.166,53.329185,936.6474,-194.937561,1.77165088775557,2.49285263563727,2.17765870266176,-1.371723,798.942017,163.174942,112.320068,1172.261597,-26.311308,"LATERAL"
7,17,7,44.17,5127.3,0.327162,0.675209,0.04406,0.659634,-0.91033,0.36462,-0.09164,5124.08,0.127581,-0.711788,0.19067,-0.663872,-0.98242,0.06032,0.08229,2.4,2.5,2.46,2.93,2.98,2.97,2.92,3.88,2.98,3.94,4.02,3.78,3.9,3.87,3.69,1897,7.904167,61664.170167,53.299519,936.670105,-194.912491,1.77177296369692,2.49273779523676,2.1777257680519,-1.373971,798.929749,163.18898,112.326294,1172.265869,-26.268457,"LATERAL"
8,17,7,44.175,5127.32,0.326979,0.675292,0.043896,0.65965,-0.91082,0.36509,-0.09145,5124.1,0.127304,-0.711891,0.190837,-0.663766,-0.98089,0.06217,0.08712,2.4,2.5,2.46,2.93,2.98,2.97,2.92,3.88,2.98,3.94,4.02,3.78,3.9,3.87,3.69,1899,7.9125,61664.1785,53.267056,936.698364,-194.877487,1.77188906497598,2.49265790562906,2.17775938413366,-1.374962,798.91864,163.193329,112.32785,1172.281372,-26.224201,"LATERAL"
9,17,7,44.183,5127.34,0.326788,0.675384,0.043715,0.659663,-0.91185,0.36848,-0.08618,5124.12,0.127115,-0.711886,0.191079,-0.663739,-0.97637,0.06095,0.0926,2.4,2.5,2.46,2.93,2.98,2.97,2.92,3.88,2.98,3.94,4.02,3.78,3.9,3.87,3.69,1901,7.920833,61664.186833,53.243843,936.734375,-194.836563,1.77198084617554,2.49260053541142,2.17777999658589,-1.365853,798.906799,163.211868,112.329544,1172.300415,-26.183079,"LATERAL"
10,17,7,44.189,5127.36,0.326546,0.675456,0.043752,0.659706,-0.9093,0.37073,-0.08665,5124.14,0.126921,-0.711945,0.191263,-0.66366,-0.98152,0.05743,0.08854,2.4,2.5,2.46,2.93,2.98,2.97,2.92,3.88,2.98,3.94,4.02,3.78,3.9,3.87,3.69,1902,7.925,61664.191,53.243843,936.734375,-194.836563,1.77198084617554,2.49260053541142,2.17777999658589,-1.365853,798.906799,163.211868,112.329544,1172.300415,-26.183079,"LATERAL"
11,17,7,44.203,5127.38,0.326477,0.675525,0.043639,0.659678,-0.90876,0.37244,-0.08444,5124.16,0.126801,-0.71208,0.191174,-0.663563,-0.98706,0.05486,0.08257,2.4,2.5,2.46,2.93,2.98,2.97,2.92,3.88,2.98,3.94,4.02,3.78,3.9,3.87,3.69,1905,7.9375,61664.2035,53.220028,936.768677,-194.786285,1.77205869076485,2.4925441553026,2.17780540313986,-1.357109,798.897461,163.222855,112.326981,1172.319458,-26.130342,"LATERAL"
12,17,7,44.21,5127.4,0.326282,0.6757,0.043816,0.659583,-0.90782,0.37587,-0.08153,5124.18,0.126551,-0.712209,0.191108,-0.663491,-0.99015,0.05634,0.07485,2.4,2.5,2.46,2.93,2.98,2.97,2.92,3.89,2.98,3.94,4.02,3.79,3.9,3.87,3.69,1907,7.945833,61664.211833,53.187237,936.8479,-194.68158,1.77215490123691,2.49250868118654,2.17780163093125,-1.340433,798.885193,163.25589,112.314491,1172.362183,-26.048147,"LATERAL"
13,17,7,44.256,5127.42,0.326281,0.675761,0.04376,0.659525,-0.90751,0.3739,-0.0816,5124.2,0.126716,-0.712129,0.190941,-0.663594,-0.99046,0.05488,0.07378,2.4,2.5,2.46,2.93,2.98,2.97,2.92,3.88,2.98,3.94,4.02,3.79,3.9,3.87,3.69,1918,7.991667,61664.257667,53.192104,937.089539,-194.418533,1.7719895161569,2.49219365642569,2.17819452906773,-1.286206,798.863403,163.355606,112.272087,1172.550049,-25.687893,"LATERAL"
14,17,7,44.261,5127.44,0.326344,0.675786,0.043756,0.659468,-0.91028,0.37343,-0.08137,5124.22,0.126707,-0.712099,0.190963,-0.663622,-0.9857,0.05919,0.07577,2.4,2.5,2.46,2.93,2.98,2.97,2.92,3.89,2.98,3.94,4.02,3.78,3.9,3.87,3.69,1919,7.995833,61664.261833,53.191528,937.12262,-194.374161,1.7719901284475,2.49212724985016,2.17826251700875,-1.27745,798.866394,163.378555,112.274208,1172.581299,-25.61982,"LATERAL"
