      Sample        Hour      Minute         Sec       Stamp       Quat1       Quat2       Quat3       Quat4        AccX        AccY        AccZ      Stamp2     Quat2_1     Quat2_2     Quat2_3     Quat2_4      Acc2_X      Acc2_Y      Acc2_Z          A0          A1          A2          A3          A4          A5          A6          A7          A8          A9         A10         A11         A12         A13         A14
           1          17          20      31.786     5894.88   -0.371925    0.440355   -0.538680    0.614478    -0.92897     0.33276    -0.02930     5891.62   -0.098254   -0.760673   -0.038345   -0.640509    -0.97013     0.09033     0.15641        2.27        2.50        2.56        2.99        3.13        2.99        2.83        3.89        2.96        3.93        3.95        3.77        3.90        3.88        3.72
           2          17          20      31.794     5894.90   -0.371857    0.440380   -0.538670    0.614510    -0.92810     0.33214    -0.03195     5891.64   -0.098352   -0.760680   -0.038374   -0.640485    -0.97185     0.09044     0.15554        2.26        2.50        2.56        2.99        3.13        2.99        2.83        3.89        2.96        3.93        3.96        3.77        3.90        3.88        3.72
           3          17          20      31.804     5894.92   -0.371872    0.440355   -0.538621    0.614562    -0.92686     0.33287    -0.03135     5891.66   -0.098356   -0.760587   -0.038285   -0.640600    -0.97105     0.09405     0.15416        2.27        2.50        2.57        2.99        3.12        2.99        2.83        3.89        2.96        3.93        3.96        3.77        3.90        3.88        3.72
           4          17          20      31.810     5894.94   -0.371897    0.440316   -0.538565    0.614624    -0.92678     0.33123    -0.03162     5891.68   -0.098454   -0.760567   -0.038283   -0.640609    -0.97015     0.09190     0.15362        2.28        2.50        2.57        2.99        3.12        2.99        2.83        3.89        2.96        3.93        3.95        3.77        3.90        3.88        3.72
           5          17          20      31.823     5894.96   -0.371934    0.440272   -0.538523    0.614669    -0.92775     0.33161    -0.03214     5891.70   -0.098319   -0.760580   -0.038418   -0.640606    -0.97011     0.09229     0.15526        2.29        2.50        2.57        2.98        3.10        2.99        2.83        3.90        2.95        3.93        3.96        3.77        3.90        3.88        3.72
           6          17          20      31.828     5894.98   -0.371997    0.440203   -0.538473    0.614725    -0.92671     0.33236    -0.03148     5891.72   -0.098264   -0.760604   -0.038245   -0.640596    -0.97126     0.08641     0.15885        2.30        2.50        2.57        2.98        3.09        2.99        2.84        3.90        2.95        3.94        3.96        3.77        3.90        3.88        3.72
           7          17          20      31.834     5895.00   -0.372043    0.440213   -0.538476    0.614688    -0.92759     0.33268    -0.03261     5891.74   -0.098319   -0.760619   -0.038213   -0.640572    -0.97260     0.09269     0.15555        2.32        2.49        2.57        2.97        3.08        2.99        2.84        3.89        2.95        3.94        3.96        3.77        3.90        3.88        3.72
           8          17          20      31.839     5895.02   -0.372098    0.440151   -0.538429    0.614739    -0.92735     0.33025    -0.03216     5891.76   -0.098036   -0.760358   -0.037907   -0.640943    -0.97206     0.09649     0.15316        2.33        2.49        2.57        2.96        3.06        2.99        2.84        3.90        2.95        3.94        3.96        3.77        3.90        3.88        3.72
           9          17          20      31.845     5895.04   -0.372139    0.440095   -0.538363    0.614812    -0.92759     0.33097    -0.03413     5891.78   -0.098026   -0.760330   -0.037779   -0.640985    -0.97161     0.09021     0.15742        2.33        2.49        2.58        2.96        3.05        2.99        2.84        3.90        2.95        3.94        3.96        3.77        3.90        3.88        3.72
          10          17          20      31.850     5895.06   -0.372110    0.440076   -0.538299    0.614899    -0.92782     0.33381    -0.03364     5891.80   -0.097939   -0.760358   -0.037691   -0.640970    -0.97187     0.08990     0.16071        2.34        2.48        2.58        2.95        3.02        2.99        2.84        3.90        2.95        3.94        3.96        3.77        3.90        3.88        3.72
          11          17          20      31.862     5895.08   -0.372146    0.440017   -0.538245    0.614966    -0.92517     0.33329    -0.03083     5891.82   -0.097893   -0.760376   -0.037548   -0.640965    -0.97128     0.09373     0.16180        2.35        2.48        2.57        2.95        3.01        2.99        2.84        3.90        2.95        3.94        3.96        3.77        3.90        3.88        3.72
          12          17          20      31.866     5895.10   -0.372083    0.440061   -0.538218    0.614998    -0.92876     0.33500    -0.03498     5891.84   -0.097951   -0.760379   -0.037476   -0.640957    -0.97264     0.09173     0.16005        2.35        2.49        2.57        2.95        3.00        2.99        2.84        3.90        2.95        3.94        3.96        3.77        3.90        3.88        3.72
          13          17          20      31.916     5895.12   -0.372144    0.440017   -0.538155    0.615047    -0.92964     0.33294    -0.03135     5891.86   -0.097995   -0.760392   -0.037649   -0.640924    -0.97112     0.09174     0.16061        2.35        2.49        2.58        2.95        3.00        2.99        2.84        3.90        2.95        3.94        3.96        3.77        3.90        3.88        3.72
          14          17          20      31.921     5895.14   -0.372242    0.439925   -0.538169    0.615041    -0.92794     0.33254    -0.03266     5891.88   -0.098087   -0.760369   -0.037625   -0.640938    -0.96913     0.09028     0.15935        2.35        2.50        2.58        2.94        2.99        2.99        2.84        3.90        2.95        3.94        3.96        3.77        3.90        3.88        3.72
          15          17          20      31.938     5895.16   -0.372262    0.439946   -0.538204    0.614983    -0.92711     0.33262    -0.03329     5891.90   -0.098154   -0.760367   -0.037601   -0.640932    -0.96858     0.09147     0.15766        2.35        2.50        2.58        2.94        2.98        2.99        2.84        3.90        2.95        3.94        3.96        3.77        3.90        3.88        3.72
          16          17          20      31.945     5895.18   -0.372301    0.439920   -0.538178    0.615002    -0.92754     0.33412    -0.03373     5891.92   -0.098281   -0.760369   -0.037495   -0.640916    -0.97079     0.09180     0.15480        2.35        2.50        2.58        2.94        2.98        2.99        2.84        3.90        2.95        3.94        3.96        3.78        3.90        3.88        3.72
          17          17          20      31.995     5895.20   -0.372355    0.439945   -0.538159    0.614967    -0.92758     0.33276    -0.03455     5891.94   -0.098432   -0.760377   -0.037408   -0.640889    -0.97171     0.09119     0.15541        2.34        2.50        2.58        2.94        2.97        2.99        2.84        3.89        2.95        3.94        3.96        3.78        3.90        3.88        3.72
          18          17          20      32.000     5895.22   -0.372398    0.439929   -0.538101    0.615003    -0.92657     0.33214    -0.03418     5891.96   -0.098524   -0.760373   -0.037424   -0.640879    -0.97137     0.09215     0.15726        2.34        2.50        2.58        2.94        2.96        2.99        2.84        3.90        2.95        3.94        3.96        3.77        3.90        3.88        3.72
          19          17          20      32.018     5895.24   -0.372420    0.439913   -0.538040    0.615055    -0.92653     0.33125    -0.03592     5891.98   -0.098728   -0.760397   -0.037380   -0.640821    -0.96915     0.09387     0.15822        2.34        2.50        2.58        2.95        2.95        2.99        2.84        3.90        2.96        3.94        3.96        3.78        3.90        3.88        3.72
          20          17          20      32.023     5895.26   -0.372466    0.439907   -0.537979    0.615085    -0.92632     0.33269    -0.03561     5892.00   -0.098870   -0.760449   -0.037399   -0.640736    -0.96828     0.09309     0.15710        2.33        2.50        2.58        2.95        2.93        2.99        2.84        3.89        2.96        3.94        3.96        3.78        3.90        3.88        3.72
          21          17          20      32.079     5895.28   -0.372504    0.439890   -0.537927    0.615121    -0.92664     0.33109    -0.03564     5892.02   -0.099053   -0.760489   -0.037292   -0.640667    -0.96741     0.09105     0.15850        2.33        2.49        2.58        2.95        2.92        2.99        2.84        3.89        2.96        3.94        3.96        3.77        3.90        3.88        3.72
          22          17          20      32.085     5895.30   -0.372506    0.439920   -0.537910    0.615113    -0.92746     0.33064    -0.03449     5892.04   -0.099245   -0.760518   -0.037235   -0.640606    -0.96763     0.09215     0.15866        2.32        2.49        2.57        2.95        2.92        2.99        2.84        3.89        2.96        3.94        3.96        3.78        3.90        3.88        3.72
          23          17          20      32.089     5895.32   -0.372574    0.439898   -0.537849    0.615140    -0.92854     0.33173    -0.03442     5892.06   -0.099312   -0.760563   -0.037325   -0.640538    -0.96936     0.09300     0.15874        2.32        2.49        2.57        2.95        2.92        2.99        2.84        3.89        2.96        3.94        3.96        3.78        3.90        3.88        3.72
          24          17          20      32.139     5895.34   -0.372636    0.439873   -0.537817    0.615148    -0.92700     0.33165    -0.03442     5892.08   -0.099447   -0.760627   -0.037333   -0.640440    -0.96463     0.09473     0.15878        2.32        2.49        2.57        2.95        2.91        2.99        2.84        3.89        2.96        3.94        3.96        3.78        3.90        3.88        3.72
          25          17          20      32.145     5895.36   -0.372641    0.439936   -0.537847    0.615073    -0.92576     0.33201    -0.03488     5892.10   -0.099451   -0.760661   -0.037328   -0.640399    -0.96694     0.09134     0.15641        2.32        2.49        2.57        2.95        2.91        2.99        2.84        3.89        2.96        3.94        3.96        3.78        3.90        3.88        3.72
          26          17          20      32.150     5895.38   -0.372667    0.439936   -0.537812    0.615088    -0.92587     0.33231    -0.03695     5892.12   -0.099571   -0.760755   -0.037274   -0.640271    -0.97018     0.09215     0.15231        2.32        2.49        2.57        2.95        2.91        2.99        2.84        3.89        2.96        3.94        3.96        3.78        3.90        3.88        3.72
          27          17          20      32.195     5895.40   -0.372559    0.440004   -0.537855    0.615068    -0.92676     0.33238    -0.03329     5892.14   -0.099664   -0.760833   -0.037239   -0.640166    -0.97362     0.08840     0.15541        2.32        2.49        2.57        2.95        2.91        2.99        2.84        3.90        2.96        3.94        3.96        3.78        3.90        3.88        3.72
          28          17          20      32.200     5895.42   -0.372635    0.439974   -0.537828    0.615067    -0.92564     0.33107    -0.03343     5892.16   -0.099505   -0.760894   -0.037234   -0.640120    -0.97245     0.09049     0.15831        2.33        2.49        2.57        2.95        2.91        2.99        2.84        3.89        2.96        3.94        3.96        3.78        3.90        3.88        3.72
          29          17          20      32.218     5895.44   -0.372719    0.439939   -0.537806    0.615061    -0.92829     0.33022    -0.03510     5892.18   -0.099428   -0.761007   -0.037177   -0.640000    -0.97089     0.09495     0.16258        2.33        2.49        2.57        2.95        2.91        2.99        2.84        3.90        2.96        3.94        3.96        3.78        3.90        3.88        3.72
          30          17          20      32.222     5895.46   -0.372686    0.439972   -0.537834    0.615032    -0.92843     0.33327    -0.03472     5892.20   -0.099505   -0.761273   -0.037258   -0.639667    -0.96887     0.09935     0.16525        2.33        2.49        2.57        2.95        2.90        2.99        2.84        3.89        2.96        3.94        3.96        3.78        3.90        3.88        3.71
          31          17          20      32.259     5895.48   -0.372739    0.439977   -0.537807    0.615020    -0.92772     0.33486    -0.03390     5892.22   -0.099549   -0.761613   -0.037447   -0.639244    -0.95000     0.10420     0.16898        2.33        2.49        2.57        2.95        2.90        2.99        2.84        3.90        2.96        3.94        3.96        3.78        3.90        3.88        3.71
          32          17          20      32.265     5895.50   -0.372688    0.440100   -0.537842    0.614932    -0.92730     0.33341    -0.03505     5892.24   -0.099716   -0.762173   -0.037796   -0.638530    -0.94449     0.10106     0.14709        2.33        2.49        2.56        2.95        2.90        2.99        2.84        3.90        2.96        3.94        3.96        3.78        3.90        3.88        3.72
          33          17          20      32.295     5895.52   -0.372707    0.440130   -0.537730    0.614997    -0.92953     0.33346    -0.03210     5892.26   -0.099872   -0.762728   -0.038013   -0.637829    -0.96599     0.09131     0.13257        2.33        2.49        2.56        2.95        2.90        2.99        2.84        3.89        2.96        3.94        3.96        3.78        3.90        3.88        3.72
