Sample,Hour,Minute,Sec,Stamp,Quat1,Quat2,Quat3,Quat4,AccX,AccY,AccZ,Stamp2,Quat2_1,Quat2_2,Quat2_3,Quat2_4,Acc2_X,Acc2_Y,Acc2_Z,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Frame,Time,realTime,BrazoX,BrazoY,BrazoZ,angBrazoX,angBrazoY,angBrazoZ,EspaldaX,EspaldaY,EspaldaZ,refX,refY,refZ,type
2,17,9,35.95,5238.96,0.554842,0.597755,0.295078,0.497764,-0.90819,0.36361,-0.11628,5235.74,0.152005,-0.707012,0.209448,-0.658149,-0.97871,0.05586,0.08477,2.35,2.44,2.53,2.92,2.95,2.98,2.89,3.9,2.98,3.95,4.03,3.78,3.89,3.87,3.67,1876,7.816667,61775.951667,85.792274,942.914185,-203.508881,1.78395386789182,2.42900543133509,2.23778476109116,8.396224,803.473267,161.176239,150.888672,1175.754517,-13.148817,"LATERAL"
3,17,9,35.967,5238.98,0.554884,0.59777,0.295152,0.497655,-0.907,0.36625,-0.11701,5235.76,0.152295,-0.707175,0.209051,-0.658033,-0.98315,0.05153,0.08522,2.35,2.44,2.53,2.92,2.95,2.98,2.89,3.9,2.98,3.94,4.03,3.78,3.89,3.87,3.67,1880,7.833333,61775.968333,85.712029,942.856384,-203.53009,1.78416869738014,2.42901501312456,2.23768357617425,8.38592,803.459839,161.162354,150.888672,1175.754517,-13.148817,"LATERAL"
4,17,9,35.976,5239,0.554878,0.597799,0.295159,0.497622,-0.9089,0.36607,-0.11625,5235.78,0.152317,-0.707135,0.209096,-0.658057,-0.9858,0.04947,0.08381,2.35,2.44,2.52,2.92,2.95,2.98,2.89,3.9,2.98,3.94,4.03,3.78,3.89,3.87,3.67,1882,7.841667,61775.976667,85.665665,942.83313,-203.543045,1.78429787405324,2.4289973498666,2.23764653384596,8.375183,803.453735,161.153458,150.888672,1175.754517,-13.148817,"LATERAL"
5,17,9,35.985,5239.02,0.554839,0.597854,0.295183,0.497585,-0.90674,0.3653,-0.1155,5235.8,0.152261,-0.707105,0.20908,-0.658107,-0.98436,0.05352,0.08262,2.35,2.44,2.53,2.92,2.95,2.98,2.89,3.9,2.98,3.94,4.02,3.78,3.89,3.87,3.67,1884,7.85,61775.985,85.620979,942.802551,-203.549911,1.78442044237068,2.42901072179397,2.23758068555442,8.365944,803.449158,161.15184,150.888672,1175.754517,-13.148817,"LATERAL"
6,17,9,35.994,5239.04,0.554819,0.597897,0.295196,0.497549,-0.90765,0.36572,-0.11694,5235.82,0.152196,-0.70703,0.209054,-0.658211,-0.98296,0.05509,0.08419,2.35,2.44,2.53,2.92,2.96,2.98,2.89,3.9,2.98,3.94,4.03,3.78,3.89,3.87,3.67,1887,7.8625,61775.9975,85.559799,942.756348,-203.562393,1.78458454578965,2.42903103769698,2.23749001987776,8.342355,803.446655,161.153839,150.888672,1175.754517,-13.148817,"LATERAL"
7,17,9,36.002,5239.06,0.554806,0.597983,0.295203,0.497456,-0.90838,0.36923,-0.11375,5235.84,0.152116,-0.706947,0.209012,-0.658332,-0.98179,0.05019,0.08257,2.35,2.44,2.52,2.92,2.95,2.98,2.89,3.9,2.98,3.94,4.03,3.78,3.89,3.87,3.67,1889,7.870833,61776.005833,85.512825,942.728699,-203.56543,1.78471753648612,2.42904520866215,2.23741883834491,8.330894,803.436523,161.158478,150.888672,1175.754517,-13.148817,"LATERAL"
8,17,9,36.009,5239.08,0.554808,0.598042,0.295205,0.497382,-0.90756,0.36945,-0.11576,5235.86,0.152224,-0.706879,0.208882,-0.658421,-0.97979,0.04606,0.0816,2.35,2.44,2.52,2.92,2.96,2.98,2.89,3.9,2.98,3.94,4.03,3.78,3.89,3.87,3.67,1890,7.875,61776.01,85.493698,942.707764,-203.572067,1.78476415708412,2.42905896351771,2.23738493151955,8.32282,803.438599,161.152771,150.888672,1175.754517,-13.148817,"LATERAL"
9,17,9,36.014,5239.1,0.554857,0.598068,0.295216,0.497289,-0.90815,0.36982,-0.11623,5235.88,0.152275,-0.706774,0.208908,-0.658514,-0.98117,0.04686,0.08057,2.36,2.44,2.52,2.92,2.96,2.98,2.89,3.9,2.98,3.94,4.03,3.78,3.89,3.87,3.67,1891,7.879167,61776.014167,85.464516,942.687805,-203.576523,1.78484414446818,2.42906768299478,2.23734189469087,8.321491,803.434082,161.154663,150.888672,1175.754517,-13.148817,"LATERAL"
10,17,9,36.019,5239.12,0.554858,0.598122,0.29524,0.497208,-0.90594,0.36727,-0.11632,5235.9,0.152465,-0.706678,0.208794,-0.658609,-0.98216,0.05172,0.08132,2.35,2.44,2.52,2.92,2.96,2.98,2.89,3.9,2.98,3.94,4.03,3.78,3.89,3.87,3.67,1893,7.8875,61776.0225,85.417465,942.658081,-203.588058,1.78497249719194,2.42906640125331,2.23728835753727,8.309851,803.427307,161.154282,150.888672,1175.754517,-13.148817,"LATERAL"
11,17,9,36.024,5239.14,0.554841,0.598187,0.295269,0.497132,-0.90601,0.3678,-0.11407,5235.92,0.152501,-0.706561,0.20876,-0.658738,-0.98131,0.05047,0.08332,2.35,2.44,2.52,2.92,2.96,2.98,2.89,3.9,2.98,3.94,4.02,3.78,3.89,3.87,3.67,1894,7.891667,61776.026667,85.398712,942.638489,-203.589493,1.78502088674105,2.42908966699122,2.23724398748761,8.303424,803.427734,161.151367,150.888672,1175.754517,-13.148817,"LATERAL"
