,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,brazo,brazo,brazo,brazo,brazo,brazo,brazo,espalda,espalda,espalda,espalda,espalda,espalda,espalda,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker3,Rigid Body 2:Marker3,Rigid Body 2:Marker3,MarkerSet:referencia,MarkerSet:referencia,MarkerSet:referencia
,,"A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","8392B20CF49E3573700000001","8392B20CF49E3573700000001","8392B20CF49E3573700000001","8392B20CF49E3573700000002","8392B20CF49E3573700000002","8392B20CF49E3573700000002","8392B20CF49E3573700000003","8392B20CF49E3573700000003","8392B20CF49E3573700000003","8392B20CF49E3573800000001","8392B20CF49E3573800000001","8392B20CF49E3573800000001","8392B20CF49E3573800000002","8392B20CF49E3573800000002","8392B20CF49E3573800000002","8392B20CF49E3573800000003","8392B20CF49E3573800000003","8392B20CF49E3573800000003","8392B20CF49E35717C915B400000000","8392B20CF49E35717C915B400000000","8392B20CF49E35717C915B400000000"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
8,0.066667,-0.914784,-12.786781,13.885807,98.410774,960.740784,103.355865,1.696662,-0.532173,-16.855907,2.430422,-183.499496,837.428955,307.660767,2.600682,109.644066,960.027161,104.044792,70.472572,1002.966187,100.492653,115.158951,919.792969,105.430008,-186.304718,906.473267,308.928864,-182.215805,835.264343,304.802734,-181.905930,770.890625,309.364258,-43.348129,1165.424316,162.981628
9,0.075000,-0.941104,-12.761437,13.882243,98.408371,960.737915,103.337448,1.690348,-0.535881,-16.702412,2.435788,-183.502869,837.437744,307.644287,2.600682,109.644005,960.024048,104.022316,70.466835,1002.965820,100.465424,115.153374,919.784729,105.421860,-186.306534,906.484253,308.914459,-182.225433,835.272278,304.780365,-181.903397,770.893188,309.347778,-43.343872,1165.427612,162.943527
10,0.083333,-0.920864,-12.792498,13.882240,98.398819,960.735046,103.311829,1.700555,-0.539601,-16.548920,2.441161,-183.506241,837.446594,307.627808,2.600682,109.629395,960.016663,104.001976,70.458443,1002.968933,100.437943,115.145226,919.800964,105.389023,-186.311966,906.490234,308.896454,-182.217056,835.271118,304.770294,-181.910126,770.898193,309.331024,-43.348888,1165.436035,162.906281
11,0.091667,-0.897914,-12.832311,13.880170,98.390221,960.750183,103.301048,1.687092,-0.540023,-16.710543,2.435700,-183.517014,837.448730,307.617767,2.600682,109.630844,960.035767,104.002808,70.449799,1002.981323,100.425560,115.129402,919.793335,105.374756,-186.323639,906.497498,308.880402,-182.232437,835.272644,304.759583,-181.922638,770.918579,309.327179,-43.351917,1165.433472,162.883743
12,0.100000,-0.911971,-12.827366,13.871248,98.380051,960.747131,103.281105,1.693534,-0.544536,-16.823219,2.433790,-183.524033,837.460510,307.605957,2.600682,109.617767,960.031067,103.979919,70.448425,1002.979370,100.401054,115.112221,919.793396,105.360710,-186.332550,906.507996,308.858734,-182.235092,835.288879,304.750610,-181.932175,770.927185,309.322357,-43.348450,1165.449463,162.860703
13,0.108333,-0.906782,-12.826252,13.874786,98.371056,960.754578,103.262581,1.694274,-0.548312,-16.718742,2.437906,-183.534592,837.468445,307.605255,2.600682,109.608849,960.038513,103.962341,70.440002,1002.984863,100.383659,115.105011,919.800720,105.346619,-186.341400,906.523682,308.859039,-182.249725,835.293030,304.750244,-181.940521,770.930054,309.320160,-43.356312,1165.448853,162.836395
14,0.116667,-0.933922,-12.799767,13.853409,98.359741,960.749634,103.251869,1.689106,-0.549681,-16.865740,2.435856,-183.552673,837.474792,307.592468,2.600682,109.593849,960.028198,103.943787,70.438011,1002.995117,100.369400,115.084976,919.790588,105.339844,-186.363876,906.534546,308.839233,-182.267456,835.301392,304.739777,-181.954681,770.928406,309.311615,-43.358425,1165.457520,162.809402
15,0.125000,-0.940222,-12.799212,13.846659,98.353233,960.752563,103.241020,1.687188,-0.558106,-16.798586,2.439344,-183.560303,837.484314,307.582733,2.600682,109.595131,960.034363,103.935158,70.434860,1002.993591,100.356041,115.066643,919.783569,105.330566,-186.373032,906.541138,308.819427,-182.270798,835.296753,304.728729,-181.964874,770.956726,309.313812,-43.362053,1165.452393,162.779633
16,0.133333,-0.928665,-12.819229,13.844636,98.348152,960.756714,103.225548,1.683007,-0.552371,-16.932779,2.432556,-183.574677,837.490906,307.577759,2.600682,109.592285,960.040649,103.923882,70.434776,1002.995850,100.342033,115.058777,919.776367,105.315804,-186.384521,906.538940,308.811340,-182.288940,835.316895,304.734161,-181.978409,770.958984,309.301575,-43.374001,1165.454956,162.755981
17,0.141667,-0.923472,-12.828966,13.835346,98.339577,960.744995,103.209290,1.685953,-0.552962,-17.006529,2.440608,-183.592896,837.498901,307.569885,2.600682,109.578728,960.023560,103.908234,70.430313,1002.995117,100.322563,115.045334,919.772644,105.294548,-186.417694,906.551392,308.800385,-182.293655,835.317993,304.722839,-181.995087,770.969116,309.300140,-43.379887,1165.453613,162.736954
18,0.150000,-0.920489,-12.834059,13.824992,98.327049,960.736267,103.197105,1.678427,-0.563446,-16.906660,2.441750,-183.603638,837.507935,307.557465,2.600682,109.566849,960.014648,103.895569,70.423851,1002.991455,100.312408,115.026779,919.750488,105.281532,-186.424042,906.558105,308.778992,-182.309891,835.331116,304.709778,-182.004745,770.976746,309.297424,-43.382252,1165.458008,162.711929
19,0.158333,-0.884282,-12.886480,13.831691,98.310287,960.733032,103.178795,1.679063,-0.563242,-17.117140,2.434778,-183.615540,837.515076,307.549225,2.600682,109.551666,960.014832,103.888222,70.406708,1002.981323,100.294807,115.009132,919.742737,105.251396,-186.433823,906.567261,308.761322,-182.321426,835.329407,304.709198,-182.018967,770.990967,309.291168,-43.392586,1165.453735,162.695099
20,0.166667,-0.879355,-12.891230,13.826927,98.295509,960.726624,103.158073,1.667911,-0.577143,-16.573460,2.447309,-183.627869,837.514954,307.539337,2.600682,109.541054,960.011658,103.867920,70.392838,1002.974365,100.275452,114.989006,919.717224,105.229507,-186.449951,906.556580,308.745697,-182.333618,835.335876,304.702759,-182.027969,770.992920,309.282440,-43.398666,1165.456299,162.673447
21,0.175000,-0.915201,-12.842094,13.815559,98.276215,960.711548,103.142601,1.663481,-0.567409,-16.888540,2.443631,-183.638367,837.518799,307.533386,2.600682,109.532127,959.999390,103.843758,70.371277,1002.963196,100.256439,114.952682,919.698059,105.220757,-186.457336,906.568176,308.747192,-182.348068,835.347412,304.697388,-182.035950,770.987244,309.273163,-43.412373,1165.447998,162.655685
