Sample,Hour,Minute,Sec,Stamp,Quat1,Quat2,Quat3,Quat4,AccX,AccY,AccZ,Stamp2,Quat2_1,Quat2_2,Quat2_3,Quat2_4,Acc2_X,Acc2_Y,Acc2_Z,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Frame,Time,realTime,BrazoX,BrazoY,BrazoZ,angBrazoX,angBrazoY,angBrazoZ,EspaldaX,EspaldaY,EspaldaZ,refX,refY,refZ,type
2,16,53,55.443,4298.44,0.710752,0.003543,0.675543,-0.196117,-0.94449,0.26878,-0.08775,4295.28,0.730264,-0.192227,0.530457,-0.385199,-0.90355,0.12315,-0.37312,2.17,2.64,2.73,2.75,3.16,3.02,3.02,3.83,3.16,3.88,4,3.9,3.75,3.82,3.72,2186,9.108333,60835.445333,309.153778,970.249268,-138.547379,1.0962337326842,2.45313755736508,2.02798799280637,37.201618,808.588989,165.363998,184.696609,1180.577515,-18.317177,"CRUZEXT"
3,16,53,55.455,4298.46,0.710755,0.003513,0.675517,-0.196192,-0.94385,0.26765,-0.09171,4295.3,0.730374,-0.192196,0.530344,-0.385163,-0.90442,0.12224,-0.37627,2.16,2.64,2.73,2.76,3.16,3.02,3.02,3.83,3.16,3.88,4,3.9,3.74,3.82,3.72,2189,9.120833,60835.457833,309.094666,970.157593,-138.574188,1.09647741505812,2.45342796725992,2.02787829238858,37.202003,808.582458,165.367935,184.686981,1180.552246,-18.361563,"CRUZEXT"
4,16,53,55.462,4298.48,0.71073,0.003465,0.675536,-0.19622,-0.94299,0.2665,-0.08894,4295.32,0.730379,-0.192105,0.530416,-0.385099,-0.90386,0.12261,-0.37509,2.16,2.64,2.73,2.76,3.16,3.02,3.02,3.83,3.16,3.88,4,3.9,3.74,3.82,3.72,2190,9.125,60835.462,309.075165,970.133606,-138.586166,1.096549143323,2.45350855167742,2.02785205721271,37.203281,808.580017,165.368835,184.688736,1180.535645,-18.383698,"CRUZEXT"
5,16,53,55.476,4298.5,0.710674,0.003439,0.675579,-0.196274,-0.94334,0.26578,-0.08967,4295.34,0.730395,-0.192036,0.530437,-0.385073,-0.90339,0.12193,-0.37371,2.16,2.64,2.73,2.76,3.16,3.02,3.02,3.83,3.16,3.88,4,3.9,3.74,3.82,3.72,2194,9.141667,60835.478667,308.984833,969.99707,-138.621628,1.09695364652983,2.45390895395656,2.02777095276034,37.197697,808.57019,165.38121,184.680771,1180.494873,-18.42384,"CRUZEXT"
6,16,53,55.481,4298.52,0.710669,0.003405,0.675572,-0.196317,-0.94475,0.26735,-0.0918,4295.36,0.730522,-0.192411,0.530127,-0.385073,-0.90458,0.12078,-0.37495,2.16,2.64,2.73,2.76,3.16,3.02,3.02,3.83,3.16,3.88,4,3.9,3.75,3.82,3.72,2195,9.145833,60835.482833,308.961029,969.960144,-138.632523,1.09706887899707,2.45401917898232,2.02775257220871,37.198513,808.564514,165.381973,184.681198,1180.483276,-18.435648,"CRUZEXT"
7,16,53,55.487,4298.54,0.710667,0.003426,0.675579,-0.196302,-0.94437,0.26617,-0.09096,4295.38,0.730602,-0.192352,0.530103,-0.384984,-0.902,0.1217,-0.37242,2.17,2.64,2.73,2.76,3.16,3.02,3.02,3.83,3.16,3.88,4,3.9,3.74,3.82,3.73,2196,9.15,60835.487,308.939392,969.926758,-138.638214,1.09717274179826,2.45414510885528,2.02770306782438,37.196934,808.562317,165.380569,184.68689,1180.468018,-18.455521,"CRUZEXT"
8,16,53,55.492,4298.56,0.710754,0.003441,0.675506,-0.196236,-0.94395,0.26685,-0.09265,4295.4,0.730646,-0.192411,0.530043,-0.384953,-0.90004,0.12317,-0.36832,2.16,2.64,2.73,2.76,3.16,3.02,3.02,3.83,3.16,3.88,4,3.9,3.74,3.82,3.72,2198,9.158333,60835.495333,308.889587,969.862305,-138.656708,1.09739243510083,2.45434308060366,2.02768304303551,37.197243,808.552307,165.395538,184.682739,1180.450684,-18.471548,"CRUZEXT"
9,16,53,55.498,4298.58,0.710764,0.003498,0.675508,-0.196191,-0.94536,0.26578,-0.08892,4295.42,0.730661,-0.19256,0.529938,-0.384995,-0.89823,0.12287,-0.36789,2.16,2.64,2.73,2.76,3.16,3.02,3.02,3.83,3.16,3.88,4,3.91,3.75,3.82,3.72,2199,9.1625,60835.4995,308.866638,969.832031,-138.666275,1.0974749978087,2.45443040724075,2.02765949171193,37.197094,808.552612,165.395416,184.676544,1180.44104,-18.483713,"CRUZEXT"
10,16,53,55.504,4298.6,0.71058,0.003592,0.675672,-0.196293,-0.94531,0.26833,-0.08888,4295.44,0.730646,-0.192809,0.529779,-0.385117,-0.90367,0.12003,-0.37233,2.16,2.64,2.73,2.76,3.17,3.02,3.02,3.83,3.16,3.88,4,3.9,3.74,3.82,3.72,2201,9.170833,60835.507833,308.819855,969.767334,-138.681091,1.09764008852649,2.45462082973832,2.02759279886186,37.200283,808.547607,165.400269,184.666382,1180.415039,-18.511532,"CRUZEXT"
11,16,53,55.516,4298.62,0.710583,0.003619,0.675674,-0.196274,-0.94287,0.27016,-0.09148,4295.46,0.730647,-0.193113,0.529565,-0.385258,-0.90447,0.12102,-0.3758,2.17,2.64,2.73,2.76,3.17,3.02,3.02,3.83,3.16,3.88,4,3.9,3.75,3.82,3.72,2203,9.179167,60835.516167,308.797852,969.733398,-138.689453,1.09773193359189,2.45472334843009,2.02755991838657,37.197544,808.547974,165.409195,184.661697,1180.407227,-18.523136,"CRUZEXT"
