Sample,Hour,Minute,Sec,Stamp,Quat1,Quat2,Quat3,Quat4,AccX,AccY,AccZ,Stamp2,Quat2_1,Quat2_2,Quat2_3,Quat2_4,Acc2_X,Acc2_Y,Acc2_Z,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Frame,Time,realTime,BrazoX,BrazoY,BrazoZ,angBrazoX,angBrazoY,angBrazoZ,EspaldaX,EspaldaY,EspaldaZ,refX,refY,refZ,type
2,16,58,32.556,4575.12,0.607037,-0.16115,0.676617,-0.384352,-0.93026,0.31913,-0.03632,4572,0.676451,-0.223854,0.567778,-0.412226,-0.93652,0.15386,-0.26925,2.37,2.57,2.71,2.83,3.18,3.08,3.06,3.84,3.21,3.94,4,3.93,3.78,3.83,3.69,2582,10.758333,61112.559333,220.917511,960.282288,-172.592026,1.23803897890149,2.44244243343257,2.15856747580446,8.781408,793.958923,162.825928,127.585396,1178.973022,-14.155443,"CRUZEXT"
3,16,58,32.568,4575.14,0.607083,-0.161227,0.676558,-0.384352,-0.92726,0.32188,-0.03573,4572.02,0.676507,-0.22394,0.567715,-0.412176,-0.93703,0.15587,-0.27035,2.37,2.57,2.71,2.83,3.18,3.08,3.06,3.84,3.21,3.94,4,3.92,3.78,3.84,3.68,2585,10.770833,61112.571833,220.944061,960.305786,-172.587082,1.23796997830405,2.44239975484725,2.15856686510764,8.798616,793.967712,162.824997,127.594261,1178.98645,-14.152254,"CRUZEXT"
4,16,58,32.577,4575.16,0.607093,-0.161128,0.676521,-0.384442,-0.92766,0.32455,-0.03427,4572.04,0.676601,-0.22396,0.567677,-0.412063,-0.93452,0.15648,-0.26679,2.37,2.57,2.71,2.83,3.18,3.08,3.06,3.84,3.21,3.94,4,3.92,3.78,3.84,3.69,2587,10.779167,61112.580167,220.960327,960.318176,-172.585526,1.23791321707669,2.44238558958273,2.15854400058517,8.807803,793.973511,162.828079,127.592445,1179.002686,-14.151461,"CRUZEXT"
5,16,58,32.594,4575.18,0.607157,-0.161114,0.676491,-0.3844,-0.93004,0.3253,-0.03221,4572.06,0.676803,-0.223921,0.567603,-0.411855,-0.93424,0.15543,-0.26426,2.37,2.57,2.71,2.83,3.18,3.08,3.06,3.84,3.21,3.94,4,3.92,3.78,3.84,3.68,2591,10.795833,61112.596833,221.028015,960.369751,-172.564545,1.2376474199251,2.44221601199781,2.1585470788428,8.825853,793.967468,162.817657,127.587212,1179.025757,-14.127803,"CRUZEXT"
6,16,58,32.599,4575.2,0.607165,-0.160934,0.676542,-0.384372,-0.93164,0.32678,-0.03476,4572.08,0.676917,-0.223815,0.567628,-0.41169,-0.93733,0.15416,-0.26503,2.37,2.57,2.71,2.83,3.18,3.08,3.06,3.84,3.21,3.94,4,3.92,3.79,3.83,3.68,2592,10.8,61112.601,221.036926,960.3927,-172.561478,1.23758782644846,2.4421557631154,2.15857148442967,8.829682,793.967896,162.81424,127.583382,1179.029785,-14.124613,"CRUZEXT"
7,16,58,32.604,4575.22,0.607272,-0.160876,0.676464,-0.384365,-0.93236,0.32706,-0.03582,4572.1,0.677132,-0.223706,0.567576,-0.411467,-0.93963,0.15456,-0.26395,2.37,2.57,2.71,2.82,3.18,3.08,3.06,3.84,3.21,3.94,4,3.93,3.79,3.83,3.69,2593,10.804167,61112.605167,221.05101,960.401367,-172.556732,1.23755962855756,2.44211697267755,2.15859400775935,8.831894,793.965759,162.811127,127.59082,1179.029053,-14.116152,"CRUZEXT"
8,16,58,32.609,4575.24,0.607383,-0.160815,0.676372,-0.384376,-0.93075,0.32741,-0.03859,4572.12,0.677301,-0.223546,0.567569,-0.411285,-0.93867,0.15531,-0.26031,2.37,2.57,2.71,2.82,3.18,3.08,3.06,3.84,3.21,3.94,4,3.92,3.78,3.84,3.68,2594,10.808333,61112.609333,221.070297,960.417419,-172.55249,1.23744602938744,2.44204454468352,2.15859522445483,8.833632,793.963135,162.810287,127.578514,1179.033936,-14.110059,"CRUZEXT"
9,16,58,32.614,4575.26,0.607498,-0.160723,0.676238,-0.384469,-0.92976,0.32596,-0.04065,4572.14,0.677414,-0.223533,0.567513,-0.411183,-0.9401,0.15747,-0.25952,2.37,2.57,2.71,2.82,3.18,3.08,3.06,3.85,3.21,3.93,4,3.93,3.78,3.83,3.68,2596,10.816667,61112.617667,221.105225,960.450806,-172.544098,1.23726782823936,2.44191448443201,2.1586146482785,8.84599,793.957947,162.820206,127.566818,1179.039917,-14.099569,"CRUZEXT"
10,16,58,32.619,4575.28,0.607622,-0.160673,0.676137,-0.384472,-0.92991,0.32514,-0.04098,4572.16,0.677459,-0.22365,0.567485,-0.411084,-0.94102,0.15735,-0.26242,2.37,2.57,2.71,2.82,3.19,3.08,3.06,3.84,3.21,3.93,4,3.92,3.78,3.84,3.68,2597,10.820833,61112.621833,221.115479,960.463196,-172.532547,1.23721413266198,2.44186844114127,2.15862780861781,8.851998,793.955261,162.818329,127.561745,1179.045776,-14.083482,"CRUZEXT"
11,16,58,32.631,4575.3,0.6077,-0.16053,0.676113,-0.384451,-0.92957,0.32406,-0.03899,4572.18,0.677514,-0.223587,0.567486,-0.411027,-0.94003,0.15691,-0.26128,2.37,2.57,2.71,2.82,3.18,3.08,3.06,3.84,3.21,3.93,3.99,3.92,3.78,3.84,3.68,2600,10.833333,61112.634333,221.169968,960.522644,-172.51593,1.23696926840273,2.44166208281086,2.15868391477127,8.846581,793.959717,162.820679,127.552269,1179.062256,-14.057145,"CRUZEXT"
