Sample,Hour,Minute,Sec,Stamp,Quat1,Quat2,Quat3,Quat4,AccX,AccY,AccZ,Stamp2,Quat2_1,Quat2_2,Quat2_3,Quat2_4,Acc2_X,Acc2_Y,Acc2_Z,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Frame,Time,realTime,BrazoX,BrazoY,BrazoZ,angBrazoX,angBrazoY,angBrazoZ,EspaldaX,EspaldaY,EspaldaZ,refX,refY,refZ,type
2,17,3,20.031,4863.04,0.650458,-0.082342,0.688381,-0.310251,-0.93187,0.31759,-0.04347,4859.88,0.603354,-0.346874,0.471072,-0.541971,-0.92986,0.08983,-0.32244,2.16,2.57,2.71,2.77,3.15,3.03,3.02,3.83,3.2,3.92,4.03,3.92,3.77,3.83,3.7,2150,8.958333,61400.032333,259.872284,966.747009,-161.138367,1.23239955087269,2.46661123501447,2.12869687062376,23.13493,805.840332,162.241592,167.77446,1183.336914,-14.268476,"CRUZEXT"
3,17,3,20.049,4863.06,0.650364,-0.082328,0.688466,-0.310262,-0.92951,0.31588,-0.04283,4859.9,0.60328,-0.347054,0.470905,-0.542085,-0.93039,0.08646,-0.32629,2.16,2.57,2.71,2.77,3.15,3.03,3.02,3.83,3.2,3.92,4.03,3.92,3.77,3.83,3.7,2154,8.975,61400.049,259.808289,966.706848,-161.137299,1.23245261572848,2.46670486248564,2.12863216627857,23.123796,805.839966,162.255737,167.725128,1183.311157,-14.283875,"CRUZEXT"
4,17,3,20.056,4863.08,0.65031,-0.082304,0.688516,-0.310271,-0.93293,0.31702,-0.04309,4859.92,0.603211,-0.347117,0.470821,-0.542194,-0.93019,0.08135,-0.32511,2.16,2.57,2.71,2.77,3.15,3.03,3.02,3.83,3.2,3.92,4.03,3.92,3.77,3.83,3.7,2156,8.983333,61400.057333,259.780304,966.689819,-161.136688,1.23245858679178,2.46678364699704,2.12855074797053,23.122292,805.829773,162.259186,167.699814,1183.305176,-14.304195,"CRUZEXT"
5,17,3,20.062,4863.1,0.650246,-0.082266,0.688551,-0.310339,-0.93584,0.3173,-0.0415,4859.94,0.603182,-0.347117,0.470825,-0.542223,-0.92726,0.08376,-0.32375,2.16,2.57,2.71,2.77,3.15,3.03,3.02,3.83,3.2,3.92,4.03,3.92,3.77,3.83,3.7,2158,8.991667,61400.065667,259.751129,966.668884,-161.138702,1.2324836718364,2.46680591785534,2.12854404478222,23.117271,805.822754,162.258835,167.677521,1183.287354,-14.308293,"CRUZEXT"
6,17,3,20.068,4863.12,0.650211,-0.082228,0.688591,-0.310333,-0.9338,0.31756,-0.04278,4859.96,0.603195,-0.347226,0.470756,-0.542199,-0.92768,0.08627,-0.32361,2.16,2.57,2.71,2.77,3.15,3.03,3.02,3.83,3.2,3.92,4.03,3.92,3.77,3.83,3.7,2159,8.995833,61400.069833,259.738068,966.66095,-161.137207,1.23251616033981,2.46685508164336,2.12851328839944,23.125189,805.816223,162.258057,167.673782,1183.286011,-14.315345,"CRUZEXT"
7,17,3,20.074,4863.14,0.650162,-0.082203,0.68864,-0.310334,-0.93192,0.31634,-0.04027,4859.98,0.603139,-0.347241,0.470719,-0.542283,-0.92862,0.085,-0.32537,2.16,2.57,2.71,2.77,3.15,3.03,3.02,3.83,3.2,3.92,4.03,3.92,3.77,3.83,3.7,2160,9,61400.074,259.723602,966.652649,-161.139343,1.23250759215234,2.46685169091347,2.12851099834571,23.120907,805.809631,162.260803,167.658173,1183.274536,-14.319773,"CRUZEXT"
8,17,3,20.08,4863.16,0.650068,-0.08218,0.688715,-0.310371,-0.93169,0.31794,-0.04147,4860,0.603237,-0.347278,0.470547,-0.5423,-0.92901,0.08444,-0.32884,2.16,2.57,2.71,2.77,3.15,3.03,3.02,3.83,3.2,3.93,4.03,3.92,3.77,3.83,3.7,2162,9.008333,61400.082333,259.699188,966.632935,-161.138412,1.23253558813347,2.46692605542872,2.12844973262471,23.118725,805.804688,162.266479,167.640259,1183.269653,-14.331945,"CRUZEXT"
9,17,3,20.093,4863.18,0.650023,-0.082163,0.688759,-0.310371,-0.93122,0.31742,-0.04257,4860.02,0.603263,-0.347207,0.470482,-0.542372,-0.92829,0.08442,-0.32614,2.16,2.57,2.71,2.77,3.15,3.03,3.02,3.84,3.2,3.92,4.04,3.92,3.77,3.83,3.7,2165,9.020833,61400.094833,259.659393,966.605469,-161.141449,1.23259744467976,2.46700331008213,2.12840892974342,23.116552,805.786377,162.271667,167.613937,1183.261963,-14.340257,"CRUZEXT"
10,17,3,20.098,4863.2,0.650011,-0.082131,0.688789,-0.310339,-0.93091,0.31635,-0.0447,4860.04,0.603282,-0.347143,0.470465,-0.542406,-0.92782,0.08658,-0.32406,2.16,2.57,2.71,2.77,3.15,3.03,3.02,3.83,3.2,3.92,4.03,3.92,3.77,3.83,3.7,2166,9.025,61400.099,259.638885,966.590576,-161.133896,1.23265653500564,2.46710613682272,2.12833841306252,23.112379,805.781128,162.271866,167.610809,1183.260376,-14.352359,"CRUZEXT"
11,17,3,20.104,4863.22,0.649975,-0.082077,0.688837,-0.310322,-0.9315,0.31836,-0.04257,4860.06,0.603267,-0.347098,0.470411,-0.542498,-0.92718,0.08859,-0.32394,2.16,2.57,2.71,2.77,3.15,3.03,3.02,3.83,3.2,3.92,4.03,3.92,3.77,3.83,3.7,2168,9.033333,61400.107333,259.618652,966.581238,-161.139435,1.23265776044155,2.46709512044211,2.12835123497085,23.108692,805.775818,162.279877,167.589127,1183.253296,-14.352057,"CRUZEXT"
12,17,3,20.132,4863.24,0.649926,-0.082065,0.688885,-0.31032,-0.93164,0.31907,-0.04313,4860.08,0.603239,-0.347136,0.470307,-0.542596,-0.92848,0.08819,-0.32633,2.16,2.57,2.71,2.77,3.15,3.03,3.02,3.83,3.2,3.92,4.03,3.92,3.77,3.83,3.71,2174,9.058333,61400.132333,259.588989,966.545837,-161.128052,1.23261804469274,2.46717686903588,2.1282347379557,23.093174,805.757629,162.272964,167.551041,1183.227417,-14.371242,"CRUZEXT"
13,17,3,20.139,4863.26,0.649933,-0.082097,0.688868,-0.310334,-0.93199,0.31686,-0.04325,4860.1,0.603344,-0.347071,0.47024,-0.542579,-0.92983,0.08529,-0.32713,2.16,2.57,2.71,2.77,3.15,3.03,3.02,3.83,3.2,3.92,4.03,3.92,3.77,3.83,3.71,2176,9.066667,61400.140667,259.584015,966.540771,-161.125397,1.23258898020414,2.467244324102,2.12814118540222,23.093761,805.74884,162.265289,167.542465,1183.224609,-14.396995,"CRUZEXT"
14,17,3,20.185,4863.28,0.649862,-0.082108,0.688918,-0.31037,-0.93206,0.31601,-0.04166,4860.12,0.60341,-0.346948,0.470289,-0.542542,-0.92693,0.08813,-0.32397,2.16,2.57,2.71,2.77,3.15,3.03,3.02,3.83,3.2,3.92,4.04,3.92,3.77,3.83,3.7,2187,9.1125,61400.1865,259.5737,966.467529,-161.152359,1.23251145026685,2.46735888830334,2.12796263287976,23.052759,805.736267,162.239746,167.504837,1183.187744,-14.454802,"CRUZEXT"
